timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
334361220,0,0,1,0,0,0,0,0
334868691,0,0,1,0,0,0,0,0
335370647,0,0,1,0,0,0,0,0
335870659,0,0,1,0,0,0,0,0
336370696,0,0,1,0,0,0,0,0
336879873,0,0,1,0,0,0,0,0
337389602,0,0,1,0,0,0,0,0
337900163,0,0,1,0,0,0,0,0
338405090,0,0,1,0,0,0,0,0
338913511,0,0,1,0,0,0,0,0
339415541,0,0,1,0,0,0,0,0
339925491,0,0,1,0,0,0,0,0
340427626,0,0,1,0,0,0,0,0
340934000,0,0,1,0,0,0,0,0
341434641,0,0,1,0,0,0,0,0
341941153,0,0,1,0,0,0,0,0
342449021,0,0,1,0,0,0,0,0
342956421,0,0,1,0,0,0,0,0
343464482,0,0,1,0,0,0,0,0
343967846,0,0,1,0,0,0,0,0
344469891,0,0,1,0,0,0,0,0
344972766,0,0,1,0,0,0,0,0
345482798,0,0,1,0,0,0,0,0
